timestamp,event,player,color,points,total_score_p1,total_score_p2,round
2026-03-24T08:59:43.442785,manual_plus,1,,1,3,0,1
2026-03-24T08:59:43.971543,manual_plus,1,,1,4,0,1
2026-03-24T08:59:45.182695,manual_plus,2,,1,4,1,1
2026-03-24T08:59:45.620944,manual_plus,2,,1,4,2,1
2026-03-24T08:59:47.865546,round_end,,,0,4,2,2
2026-03-24T08:59:49.009888,round_end,,,0,4,2,3
2026-03-24T08:59:50.297352,round_end,,,0,4,2,4
2026-03-24T08:59:53.717253,start,,,0,4,2,4
2026-03-24T08:59:58.217331,round_end,,,0,4,2,5
2026-03-24T09:01:20.024972,reset,,,0,0,0,1
2026-03-24T09:01:23.251663,stop,,,0,0,0,1
2026-03-24T09:01:24.030796,start,,,0,0,0,1
2026-03-24T09:01:24.299442,stop,,,0,0,0,1
2026-03-24T09:01:24.573634,start,,,0,0,0,1
2026-03-24T09:38:01.639082,manual_plus,1,,1,1,0,1
2026-03-24T09:38:02.535977,manual_plus,1,,1,2,0,1
2026-03-24T09:38:03.050796,manual_plus,1,,1,3,0,1
2026-03-24T09:38:04.221645,manual_plus,2,,1,3,1,1
2026-03-24T09:38:05.255364,manual_plus,2,,1,3,2,1
2026-03-24T09:38:07.083512,round_end,,,0,3,2,2
2026-03-24T09:38:07.748800,round_end,,,0,3,2,3
2026-03-24T09:45:47.337258,start,,,0,0,0,1
2026-03-24T09:45:47.428767,score_hole,2,roze,3,0,0,1
2026-03-24T09:46:26.353183,score_board,2,roze,1,0,0,1
2026-03-24T09:47:33.209590,score_hole,2,groen,3,0,0,1
2026-03-24T09:47:40.909968,round_end,,,0,0,7,2
2026-03-24T09:49:48.803456,score_hole,2,groen,3,0,7,2
2026-03-24T09:52:58.048121,score_board,1,geel,1,0,7,2
2026-03-24T09:55:03.952146,round_end,,,0,0,9,3
2026-03-24T09:58:19.089948,score_board,1,geel,1,0,9,3
2026-03-24T10:45:09.745696,manual_plus,1,,1,1,0,1
2026-03-24T12:55:45.326775,manual_plus,1,,1,1,0,1
2026-03-24T12:55:46.733536,manual_plus,1,,1,2,0,1
2026-03-24T12:55:47.027540,manual_plus,1,,1,3,0,1
2026-03-24T12:55:47.325155,manual_plus,1,,1,4,0,1
2026-03-24T12:55:47.760074,manual_plus,1,,1,5,0,1
2026-03-24T12:55:48.052325,manual_plus,1,,1,6,0,1
2026-03-24T12:55:48.487355,manual_plus,1,,1,7,0,1
2026-03-24T12:55:48.781888,manual_plus,1,,1,8,0,1
2026-03-24T12:55:49.232305,manual_plus,1,,1,9,0,1
2026-03-24T12:55:49.542182,manual_plus,1,,1,10,0,1
2026-03-24T12:55:49.847018,manual_plus,1,,1,11,0,1
2026-03-24T12:55:50.154720,manual_plus,1,,1,12,0,1
2026-03-24T12:55:50.446472,manual_plus,1,,1,13,0,1
2026-03-24T12:55:50.904727,manual_plus,1,,1,14,0,1
2026-03-24T12:55:51.193386,manual_plus,1,,1,15,0,1
2026-03-24T12:55:53.615432,manual_plus,2,,1,15,1,1
2026-03-24T12:55:54.103941,manual_plus,2,,1,15,2,1
2026-03-24T12:55:55.648662,round_end,,,0,15,2,2
2026-03-24T12:55:57.041835,round_end,,,0,15,2,3
2026-03-24T12:55:58.489704,manual_minus,1,,-1,14,2,3
2026-03-24T12:55:58.797835,manual_minus,1,,-1,13,2,3
2026-03-24T12:55:59.483370,manual_plus,2,,1,13,3,3
2026-03-24T12:55:59.965560,manual_plus,2,,1,13,4,3
2026-03-24T12:56:00.580158,manual_plus,2,,1,13,5,3
2026-03-24T12:56:01.040932,manual_plus,2,,1,13,6,3
2026-03-24T12:56:01.489770,manual_plus,2,,1,13,7,3
2026-03-24T12:56:01.956418,manual_plus,2,,1,13,8,3
2026-03-24T12:56:02.262762,manual_plus,2,,1,13,9,3
2026-03-24T12:56:02.708999,manual_plus,2,,1,13,10,3
2026-03-24T12:56:03.006032,manual_plus,2,,1,13,11,3
2026-03-24T12:56:03.308572,manual_plus,2,,1,13,12,3
2026-03-24T12:56:03.769150,manual_plus,2,,1,13,13,3
2026-03-24T12:56:04.208334,manual_plus,2,,1,13,14,3
2026-03-24T12:56:04.502624,manual_plus,2,,1,13,15,3
2026-03-24T12:56:04.815655,manual_plus,2,,1,13,16,3
2026-03-24T12:56:05.115887,manual_plus,2,,1,13,17,3
2026-03-24T12:56:05.426803,manual_plus,2,,1,13,18,3
2026-03-24T12:56:05.727707,manual_plus,2,,1,13,19,3
2026-03-24T12:56:06.023605,manual_plus,2,,1,13,20,3
2026-03-24T12:56:08.515184,manual_plus,2,,1,13,21,3
2026-03-24T12:56:09.696209,manual_plus,2,,1,13,22,3
2026-03-24T13:03:10.158117,round_end,,,0,13,22,4
2026-03-24T13:04:22.665545,manual_plus,2,,1,0,1,1
2026-03-24T13:04:22.990041,manual_plus,2,,1,0,2,1
2026-03-24T13:04:23.302986,manual_plus,2,,1,0,3,1
2026-03-24T13:04:23.611059,manual_plus,2,,1,0,4,1
2026-03-24T13:04:23.915538,manual_plus,2,,1,0,5,1
2026-03-24T13:04:24.210079,manual_plus,2,,1,0,6,1
2026-03-24T13:04:24.504203,manual_plus,2,,1,0,7,1
2026-03-24T13:04:24.804861,manual_plus,2,,1,0,8,1
2026-03-24T13:04:25.256811,manual_plus,2,,1,0,9,1
2026-03-24T13:04:25.714853,manual_plus,2,,1,0,10,1
2026-03-24T13:04:26.022793,manual_plus,2,,1,0,11,1
2026-03-24T13:04:26.320946,manual_plus,2,,1,0,12,1
2026-03-24T13:04:26.627200,manual_plus,2,,1,0,13,1
2026-03-24T13:04:26.926223,manual_plus,2,,1,0,14,1
2026-03-24T13:04:27.229796,manual_plus,2,,1,0,15,1
2026-03-24T13:04:27.524474,manual_plus,2,,1,0,16,1
2026-03-24T13:04:29.356086,manual_plus,1,,1,1,16,1
2026-03-24T13:04:29.689738,manual_plus,1,,1,2,16,1
2026-03-24T13:04:30.013800,manual_plus,1,,1,3,16,1
2026-03-24T13:04:30.308162,manual_plus,1,,1,4,16,1
2026-03-24T13:04:30.599101,manual_plus,1,,1,5,16,1
2026-03-24T13:04:30.889335,manual_plus,1,,1,6,16,1
2026-03-24T13:04:31.331531,manual_plus,1,,1,7,16,1
2026-03-24T13:04:31.769017,manual_plus,1,,1,8,16,1
2026-03-24T13:04:33.015477,manual_plus,2,,1,8,17,1
2026-03-24T13:04:34.495412,round_end,,,0,8,17,2
2026-03-24T13:04:34.776437,round_end,,,0,8,17,3
2026-03-24T13:04:35.724032,manual_plus,1,,1,9,17,3
2026-03-24T13:04:36.097793,manual_plus,2,,1,9,18,3
2026-03-24T13:04:36.287969,round_end,,,0,9,18,4
2026-03-24T13:04:36.784057,manual_plus,1,,1,10,18,4
2026-03-24T13:04:37.110941,manual_plus,1,,1,11,18,4
2026-03-24T13:04:37.422137,manual_plus,1,,1,12,18,4
2026-03-24T13:04:37.719333,round_end,,,0,12,18,5
2026-03-24T13:04:38.046352,round_end,,,0,12,18,6
2026-03-24T13:04:38.202149,round_end,,,0,12,18,7
2026-03-24T13:04:38.489340,manual_plus,2,,1,12,19,7
2026-03-24T13:04:38.799549,manual_plus,2,,1,12,20,7
2026-03-24T13:04:39.283133,round_end,,,0,12,20,8
2026-03-24T13:04:39.593185,manual_plus,1,,1,13,20,8
2026-03-24T13:04:39.908125,round_end,,,0,13,20,9
2026-03-24T13:04:40.564105,manual_plus,2,,1,13,21,9
2026-03-24T13:04:41.037121,manual_plus,2,,1,13,22,9
2026-03-24T13:04:41.335844,manual_plus,2,,1,13,23,9
2026-03-24T13:04:42.357266,round_end,,,0,13,23,10
2026-03-24T13:04:45.123744,round_end,,,0,13,23,10
2026-03-24T13:11:28.975685,reset,,,0,0,0,1
2026-03-24T13:11:29.579366,reset,,,0,0,0,1
2026-03-24T13:11:29.839691,reset,,,0,0,0,1
2026-03-24T13:11:30.096156,reset,,,0,0,0,1
2026-03-24T13:15:58.297865,start,,,0,0,0,1
2026-03-24T13:16:17.954319,score_hole,1,roze,3,0,0,1
2026-03-24T13:18:22.616915,start,,,0,0,0,1
2026-03-24T13:20:36.449830,start,,,0,0,0,1
2026-03-24T13:20:36.534887,score_board,2,roze,1,0,0,1
2026-03-24T13:21:02.569604,score_hole,1,groen,3,0,0,1
2026-03-24T13:21:06.469691,score_hole,1,groen,3,0,0,1
2026-03-24T13:21:13.169519,score_board,2,roze,1,0,0,1
2026-03-24T13:21:30.234806,score_board,2,roze,1,0,0,1
2026-03-24T13:21:43.573260,score_hole,2,roze,3,0,0,1
2026-03-24T13:22:00.809874,round_end,,,0,0,0,2
2026-03-24T13:22:07.473974,manual_plus,1,,1,1,0,2
2026-03-24T13:22:07.820870,manual_plus,1,,1,2,0,2
2026-03-24T13:22:08.127145,manual_plus,1,,1,3,0,2
2026-03-24T13:22:08.423892,manual_plus,1,,1,4,0,2
2026-03-24T13:22:08.734233,manual_plus,1,,1,5,0,2
2026-03-24T13:22:09.194446,manual_plus,1,,1,6,0,2
2026-03-24T13:22:09.490468,manual_plus,1,,1,7,0,2
2026-03-24T13:22:10.962628,manual_plus,1,,1,8,0,2
2026-03-24T13:22:11.263708,manual_plus,1,,1,9,0,2
2026-03-24T13:22:11.550906,manual_plus,1,,1,10,0,2
2026-03-24T13:22:11.845979,manual_plus,1,,1,11,0,2
2026-03-24T13:22:13.431301,round_end,,,0,11,0,3
2026-03-24T13:22:15.350362,manual_plus,2,,1,11,1,3
2026-03-24T13:22:15.823206,manual_plus,2,,1,11,2,3
2026-03-24T13:22:16.136623,manual_plus,2,,1,11,3,3
2026-03-24T13:22:16.437243,manual_plus,2,,1,11,4,3
2026-03-24T13:22:16.897889,manual_plus,2,,1,11,5,3
2026-03-24T13:22:17.201168,manual_plus,2,,1,11,6,3
2026-03-24T13:22:18.941598,round_end,,,0,11,6,4
2026-03-24T13:22:20.536196,manual_plus,1,,1,12,6,4
2026-03-24T13:22:21.574846,manual_plus,1,,1,13,6,4
2026-03-24T13:22:22.293563,manual_plus,1,,1,14,6,4
2026-03-24T13:22:23.026264,manual_plus,1,,1,15,6,4
2026-03-24T13:22:24.366374,manual_plus,2,,1,15,7,4
2026-03-24T13:22:24.842815,manual_plus,2,,1,15,8,4
2026-03-24T13:22:25.293072,manual_plus,2,,1,15,9,4
2026-03-24T13:22:25.590396,manual_plus,2,,1,15,10,4
2026-03-24T13:22:25.902855,manual_plus,2,,1,15,11,4
2026-03-24T13:22:26.617812,manual_plus,2,,1,15,12,4
2026-03-24T13:22:26.944588,manual_plus,2,,1,15,13,4
2026-03-24T13:22:27.249871,manual_plus,2,,1,15,14,4
2026-03-24T13:22:27.540802,manual_plus,2,,1,15,15,4
2026-03-24T13:22:27.842035,manual_plus,2,,1,15,16,4
2026-03-24T13:22:29.250063,manual_plus,1,,1,16,16,4
2026-03-24T13:22:30.441280,round_end,,,0,16,16,5
2026-03-24T13:22:32.206129,manual_plus,1,,1,17,16,5
2026-03-24T13:22:32.836493,manual_plus,1,,1,18,16,5
2026-03-24T13:22:33.279405,manual_plus,1,,1,19,16,5
2026-03-24T13:22:33.729487,manual_plus,1,,1,20,16,5
2026-03-24T13:22:34.313162,manual_plus,1,,1,21,16,5
2026-03-24T13:22:36.467242,round_end,,,0,21,16,6
2026-03-24T13:23:58.382016,round_end,,,0,21,16,6
2026-03-24T13:24:54.560974,round_end,,,0,0,0,2
2026-03-24T13:25:34.912509,start,,,0,0,0,2
2026-03-24T13:25:34.991579,score_hole,2,groen,3,0,0,2
2026-03-24T13:25:40.745394,score_board,2,groen,1,0,0,2
2026-03-24T13:25:46.275076,score_hole,2,groen,3,0,0,2
2026-03-24T13:25:57.138529,score_hole,2,groen,3,0,0,2
2026-03-24T13:26:01.358001,score_board,2,groen,1,0,0,2
2026-03-24T13:26:05.372340,score_hole,2,groen,3,0,0,2
2026-03-24T13:26:05.535168,score_board,2,groen,1,0,0,2
2026-03-24T13:26:18.632708,manual_plus,1,,1,1,0,2
2026-03-24T13:26:19.095307,manual_plus,1,,1,2,0,2
2026-03-24T13:26:19.396509,manual_plus,1,,1,3,0,2
2026-03-24T13:26:19.710764,manual_plus,1,,1,4,0,2
2026-03-24T13:26:20.010531,manual_plus,1,,1,5,0,2
2026-03-24T13:26:20.315905,manual_plus,1,,1,6,0,2
2026-03-24T13:26:20.755519,manual_plus,1,,1,7,0,2
2026-03-24T13:26:21.055409,manual_plus,1,,1,8,0,2
2026-03-24T13:26:21.656921,manual_plus,1,,1,9,0,2
2026-03-24T13:26:21.951632,manual_plus,1,,1,10,0,2
2026-03-24T13:26:22.259246,manual_plus,1,,1,11,0,2
2026-03-24T13:26:22.554306,manual_plus,1,,1,12,0,2
2026-03-24T13:26:22.852772,manual_plus,1,,1,13,0,2
2026-03-24T13:26:23.151586,manual_plus,1,,1,14,0,2
2026-03-24T13:26:23.447232,manual_plus,1,,1,15,0,2
2026-03-24T13:26:23.740022,manual_plus,1,,1,16,0,2
2026-03-24T13:26:24.837362,manual_plus,2,,1,16,1,2
2026-03-24T13:26:25.164941,manual_plus,2,,1,16,2,2
2026-03-24T13:26:25.476741,manual_plus,2,,1,16,3,2
2026-03-24T13:26:25.783129,manual_plus,2,,1,16,4,2
2026-03-24T13:26:26.226641,manual_plus,2,,1,16,5,2
2026-03-24T13:26:26.530301,manual_plus,2,,1,16,6,2
2026-03-24T13:26:27.314915,manual_plus,1,,1,17,6,2
2026-03-24T13:26:27.673519,manual_plus,1,,1,18,6,2
2026-03-24T13:26:27.970232,manual_plus,1,,1,19,6,2
2026-03-24T13:26:28.247006,manual_plus,1,,1,20,6,2
2026-03-24T13:26:28.490145,manual_plus,1,,1,21,6,2
2026-03-24T13:26:30.546340,round_end,,,0,21,21,3
2026-03-24T13:26:34.502897,manual_plus,1,,1,22,21,3
2026-03-24T13:26:34.815101,manual_plus,1,,1,23,21,3
2026-03-24T13:26:36.316216,manual_plus,1,,1,24,21,3
2026-03-24T13:26:37.696684,round_end,,,0,24,21,4
2026-03-24T13:57:03.928184,start,,,0,0,0,1
2026-03-24T13:57:28.988651,score_board,2,groen,1,0,0,1
2026-03-24T13:57:42.334437,score_board,1,roze,1,0,0,1
2026-03-24T13:57:46.728377,score_hole,2,groen,3,0,0,1
2026-03-24T13:57:48.911807,score_hole,1,roze,3,0,0,1
2026-03-24T13:58:01.670971,score_hole,2,groen,3,0,0,1
2026-03-24T13:58:13.699354,round_end,,,0,0,3,2
2026-03-24T13:58:38.684120,score_board,2,groen,1,0,3,2
2026-03-24T13:58:45.520559,score_board,1,roze,1,0,3,2
2026-03-24T13:58:53.772467,round_end,,,0,0,3,3
2026-03-24T13:59:03.990323,score_board,2,groen,1,0,3,3
2026-03-24T13:59:17.588091,score_hole,1,roze,3,0,3,3
2026-03-24T13:59:26.432418,score_hole,2,groen,3,0,3,3
2026-03-24T13:59:35.251256,round_end,,,0,0,4,4
2026-03-24T13:59:45.757032,score_board,1,roze,1,0,4,4
2026-03-24T13:59:45.771451,score_board,2,groen,1,0,4,4
2026-03-24T13:59:52.009832,score_hole,1,roze,3,0,4,4
2026-03-24T14:00:18.804697,round_end,,,0,3,4,5
2026-03-24T14:00:26.208685,score_board,2,groen,1,3,4,5
2026-03-24T14:00:29.169066,score_hole,1,roze,3,3,4,5
2026-03-24T14:00:36.813802,score_board,2,groen,1,3,4,5
2026-03-24T14:00:47.771402,score_hole,1,roze,3,3,4,5
2026-03-24T14:00:54.466328,score_board,2,groen,1,3,4,5
2026-03-24T14:00:56.884192,score_board,1,roze,1,3,4,5
2026-03-24T14:01:04.840677,round_end,,,0,7,4,6
2026-03-24T14:01:19.883541,score_hole,2,groen,3,7,4,6
2026-03-24T14:01:22.624773,score_board,1,roze,1,7,4,6
2026-03-24T14:01:34.957213,score_board,1,roze,1,7,4,6
2026-03-24T14:01:38.938841,score_board,1,roze,1,7,4,6
2026-03-24T14:01:46.557890,round_end,,,0,7,4,7
2026-03-24T14:01:54.206502,score_board,2,groen,1,7,4,7
2026-03-24T14:01:57.919487,round_end,,,0,7,5,8
2026-03-24T14:02:01.916553,score_hole,1,roze,3,7,5,8
2026-03-24T14:02:04.044385,round_end,,,0,10,5,9
2026-03-24T14:02:07.398067,score_board,2,groen,1,10,5,9
2026-03-24T14:02:12.374378,round_end,,,0,10,6,10
2026-03-24T14:02:19.631079,round_end,,,0,10,6,11
2026-03-24T14:02:22.511394,score_board,2,groen,1,10,6,11
2026-03-24T14:02:34.674735,round_end,,,0,10,7,12
2026-03-24T14:02:36.659599,manual_plus,1,,1,11,7,12
2026-03-24T14:02:36.884341,manual_plus,1,,1,12,7,12
2026-03-24T14:02:37.163516,manual_plus,1,,1,13,7,12
2026-03-24T14:02:37.419919,manual_plus,1,,1,14,7,12
2026-03-24T14:02:37.774725,manual_plus,1,,1,15,7,12
2026-03-24T14:02:38.141436,manual_plus,1,,1,16,7,12
2026-03-24T14:02:38.407196,manual_plus,1,,1,17,7,12
2026-03-24T14:02:38.659112,manual_plus,1,,1,18,7,12
2026-03-24T14:02:41.876887,manual_plus,1,,1,19,7,12
2026-03-24T14:02:42.200280,manual_plus,1,,1,20,7,12
2026-03-24T14:02:42.472920,manual_plus,1,,1,21,7,12
2026-03-24T14:02:45.631836,manual_plus,2,,1,21,8,12
2026-03-24T14:02:46.071745,manual_plus,2,,1,21,9,12
2026-03-24T14:02:48.216048,round_end,,,0,21,9,13
2026-03-24T14:02:52.021274,round_end,,,0,21,9,13
2026-03-24T14:03:00.234775,manual_plus,1,,1,22,9,13
2026-03-24T14:03:03.472207,round_end,,,0,22,9,13
2026-03-25T08:05:56.056684,reset,,,0,0,0,1
2026-03-25T08:05:56.741471,reset,,,0,0,0,1
2026-03-25T08:05:57.023002,reset,,,0,0,0,1
2026-03-25T08:05:57.835007,reset,,,0,0,0,1
2026-03-25T08:10:23.046689,manual_plus,1,,1,1,0,1
2026-03-25T08:10:24.420964,manual_plus,1,,1,2,0,1
2026-03-25T08:10:25.503731,manual_plus,1,,1,3,0,1
2026-03-25T08:10:27.394193,manual_plus,2,,1,3,1,1
2026-03-25T08:10:30.240577,round_end,,,0,3,1,2
2026-03-25T08:10:43.521890,round_end,,,0,3,1,3
2026-03-25T08:10:44.160507,round_end,,,0,3,1,4
2026-03-25T08:10:44.428586,round_end,,,0,3,1,5
2026-03-25T08:10:44.729439,round_end,,,0,3,1,6
2026-03-25T08:19:28.044702,manual_plus,1,,1,1,0,1
2026-03-25T08:19:28.508950,manual_plus,1,,1,2,0,1
2026-03-25T08:19:28.812117,manual_plus,1,,1,3,0,1
2026-03-25T08:19:29.262052,manual_plus,1,,1,4,0,1
2026-03-25T08:19:29.567511,manual_plus,1,,1,5,0,1
2026-03-25T08:19:29.870991,manual_plus,1,,1,6,0,1
2026-03-25T08:19:30.167584,manual_plus,1,,1,7,0,1
2026-03-25T08:19:30.610570,manual_plus,1,,1,8,0,1
2026-03-25T08:19:30.917777,manual_plus,1,,1,9,0,1
2026-03-25T08:19:31.366309,manual_plus,1,,1,10,0,1
2026-03-25T08:19:31.664108,manual_plus,1,,1,11,0,1
2026-03-25T08:19:31.961771,manual_plus,1,,1,12,0,1
2026-03-25T08:19:32.400719,manual_plus,1,,1,13,0,1
2026-03-25T08:19:32.698646,manual_plus,1,,1,14,0,1
2026-03-25T08:19:33.140625,manual_plus,1,,1,15,0,1
2026-03-25T08:19:34.053398,manual_plus,2,,1,15,1,1
2026-03-25T08:19:34.372418,manual_plus,2,,1,15,2,1
2026-03-25T08:19:34.667168,manual_plus,2,,1,15,3,1
2026-03-25T08:19:34.965291,manual_plus,2,,1,15,4,1
2026-03-25T08:19:35.392339,manual_plus,2,,1,15,5,1
2026-03-25T08:19:37.716909,round_end,,,0,15,5,2
2026-03-25T08:19:38.754146,manual_plus,1,,1,16,5,2
2026-03-25T08:19:39.331433,manual_plus,1,,1,17,5,2
2026-03-25T08:19:39.744982,manual_plus,1,,1,18,5,2
2026-03-25T08:19:40.164879,manual_plus,1,,1,19,5,2
2026-03-25T08:19:40.959480,manual_plus,1,,1,20,5,2
2026-03-25T08:19:41.948228,manual_plus,1,,1,21,5,2
2026-03-25T08:19:44.033736,round_end,,,0,21,5,3
2026-03-25T08:19:47.647229,manual_plus,1,,1,22,5,3
2026-03-25T08:19:49.015852,round_end,,,0,22,5,3
2026-03-25T08:28:30.882828,manual_plus,1,,1,1,0,1
2026-03-25T08:28:31.914962,manual_plus,1,,1,2,0,1
2026-03-25T08:28:32.279208,manual_plus,1,,1,3,0,1
2026-03-25T08:28:33.854353,start,,,0,3,0,1
2026-03-25T08:28:35.088726,manual_plus,1,,1,4,0,1
2026-03-25T08:28:35.427848,manual_plus,1,,1,5,0,1
2026-03-25T08:28:36.373498,manual_plus,2,,1,5,1,1
2026-03-25T08:28:37.590910,manual_plus,2,,1,5,2,1
2026-03-25T08:28:39.624521,round_end,,,0,5,2,2
2026-03-25T08:28:40.590765,round_end,,,0,5,2,3
2026-03-25T08:28:41.009159,round_end,,,0,5,2,4
2026-03-25T08:28:41.157453,round_end,,,0,5,2,5
2026-03-25T08:28:42.452439,manual_plus,2,,1,5,3,5
2026-03-25T08:28:42.794651,manual_plus,2,,1,5,4,5
2026-03-25T08:28:43.112609,manual_plus,2,,1,5,5,5
2026-03-25T08:28:43.422146,manual_plus,2,,1,5,6,5
2026-03-25T08:28:43.728696,manual_plus,2,,1,5,7,5
2026-03-25T08:28:44.179980,manual_plus,2,,1,5,8,5
2026-03-25T08:28:44.481545,manual_plus,2,,1,5,9,5
2026-03-25T08:28:44.793768,manual_plus,2,,1,5,10,5
2026-03-25T08:28:45.091509,manual_plus,2,,1,5,11,5
2026-03-25T08:28:45.743380,manual_plus,1,,1,6,11,5
2026-03-25T08:28:46.056514,manual_plus,1,,1,7,11,5
2026-03-25T08:28:46.503564,manual_plus,1,,1,8,11,5
2026-03-25T08:28:46.799986,manual_plus,1,,1,9,11,5
2026-03-25T08:28:47.106479,manual_plus,1,,1,10,11,5
2026-03-25T08:28:47.701524,manual_plus,1,,1,11,11,5
2026-03-25T08:28:48.281966,manual_plus,1,,1,12,11,5
2026-03-25T08:28:48.855427,manual_plus,1,,1,13,11,5
2026-03-25T08:28:49.294246,manual_plus,1,,1,14,11,5
2026-03-25T08:28:49.603897,manual_plus,1,,1,15,11,5
2026-03-25T08:28:50.047184,manual_plus,1,,1,16,11,5
2026-03-25T08:28:50.343577,manual_plus,1,,1,17,11,5
2026-03-25T08:28:50.795628,manual_plus,1,,1,18,11,5
2026-03-25T08:28:51.446531,manual_plus,2,,1,18,12,5
2026-03-25T08:28:51.941875,manual_plus,2,,1,18,13,5
2026-03-25T08:28:52.799911,round_end,,,0,18,13,6
2026-03-25T08:28:53.978656,manual_plus,1,,1,19,13,6
2026-03-25T08:28:54.282854,manual_plus,1,,1,20,13,6
2026-03-25T08:28:54.581149,manual_plus,1,,1,21,13,6
2026-03-25T08:28:56.691102,round_end,,,0,21,13,7
